"date_d_m","sugar_conc","group","box","sample_name","sex","note","PBS_ul","dilution","meanCBcount","CBLoadPerB","colony"
"24-5","35","4","B","35_4B 2","female","","300",1,4.2,113400,"1"
"24-5","35","4","B","35_4B 3","female","","300",10,4,1080000,"1"
"24-5","35","4","B","35_4B 4","female","","300",10,3.8,1026000,"1"
"24-5","35","4","B","35_4B 5","female","","300",10,6.4,1728000,"1"
"24-5","35","4","B","35_4B 6","female","","300",10,2.4,648000,"1"
"24-5","60","4","A","60_4A 4","female","","300",10,7.2,1944000,"1"
"24-5","60","4","A","60_4A 5","female","","300",10,3,810000,"1"
"24-5","60","4","A","60_4A 6","female","","300",10,4,1080000,"1"
"24-5","60","4","B","60_4B 1","female","","600",1,4.4,237600,"1"
"24-5","60","4","B","60_4B 2","female","","300",1,5.2,140400,"1"
"24-5","60","4","B","60_4B 3","female","","300",1,1.8,48600,"1"
"24-5","60","4","B","60_4B 4","female","","300",1,0.6,16200,"1"
"24-5","60","4","B","60_4B 5","female","","300",1,0.4,10800,"1"
"24-5","60","4","B","60_4B 6","female","","300",1,5.4,145800,"1"
"24-5","0","5","A","0_5A 1","female","","300",10,2.4,648000,"2"
"24-5","0","5","B","0_5B 7","female","still breathing in dissection, but not really mobile","300",1,0,0,"2"
"24-5","0","5","B","0_5B 8","female","","300",1,0,0,"2"
"25-5","10","5","A","10_5A 1","female","","300",10,2.2,594000,"2"
"25-5","0","5","A","0_5A 2","female","","300",10,2.2,594000,"2"
"25-5","0","5","A","0_5A 3","female","","300",10,1.2,324000,"2"
"26-5","0","5","A","0_5A 4","female","","300",10,0.4,108000,"2"
"27-5","10","5","A","10_5A 2","female","inmobile ones appear","300",1,0.6,16200,"2"
"27-5","35","5","A","35_5A 1","female","","300",10,4.2,1134000,"2"
"27-5","60","5","A","60_5A 1","female","","300",10,4.6,1242000,"2"
"28-5","10","5","A","10_5A db3","female","","300",1,3.2,86400,"2"
"28-5","10","5","A","10_5A db4","female","","300",1,3.4,91800,"2"
"28-5","10","5","A","10_5A 5","female","","300",1,1.6,43200,"2"
"28-5","10","5","A","10_5A 6","female","","300",1,2.4,64800,"2"
"28-5","10","5","A","10_5A 7","female","","300",1,0.8,21600,"2"
"28-5","10","5","A","10_5A 8","female","","300",1,0.6,16200,"2"
"28-5","10","5","A","10_5A 9","female","","300",10,2.6,702000,"2"
"28-5","10","5","B","10_5B 1","female","","300",1,5.6,151200,"2"
"28-5","10","5","B","10_5B 2","female","","300",1,4.2,113400,"2"
"28-5","10","5","B","10_5B 3","female","","300",1,0.4,10800,"2"
"28-5","10","5","B","10_5B 4","female","","300",1,0,0,"2"
"28-5","10","5","B","10_5B 5","female","","300",1,0.2,5400,"2"
"28-5","10","5","B","10_5B 6","female","","300",1,0,0,"2"
"28-5","10","5","B","10_5B 7","female","","300",1,0.2,5400,"2"
"28-5","10","5","B","10_5B 8","female","","300",1,0.4,10800,"2"
"28-5","35","5","A","35_5A db2","female","","300",10,3.6,972000,"2"
"28-5","35","5","A","35_5A 3","female","","300",10,0.8,216000,"2"
"28-5","35","5","A","35_5A 4","female","","300",10,0.6,162000,"2"
"28-5","35","5","A","35_5A 5","female","","300",10,1.6,432000,"2"
"28-5","35","5","A","35_5A 6","female","","300",10,2.8,756000,"2"
"28-5","35","5","A","35_5A 7","female","","300",100,2,5400000,"2"
"28-5","35","5","A","35_5A 8","female","","300",10,2.8,756000,"2"
"28-5","35","5","A","35_5A 9","female","","300",1,0.8,21600,"2"
"28-5","35","5","B","35_5B 1","female","","300",1,0,0,"2"
"28-5","35","5","B","35_5B 2","female","","300",1,0.2,5400,"2"
"28-5","35","5","B","35_5B 3","female","","300",1,0.2,5400,"2"
"28-5","35","5","B","35_5B 4","female","","300",1,0,0,"2"
"28-5","35","5","B","35_5B 5","female","","300",1,0.2,5400,"2"
"28-5","35","5","B","35_5B 6","female","","300",1,0,0,"2"
"28-5","35","5","B","35_5B 7","female","","300",1,0,0,"2"
"28-5","35","5","B","35_5B 8","female","","300",1,0,0,"2"
"28-5","60","5","A","60_5A 2","female","","300",10,6.2,1674000,"2"
"28-5","60","5","A","60_5A 3","female","","300",100,2.6,7020000,"2"
"28-5","60","5","A","60_5A 4","female","","300",1,1.2,32400,"2"
"28-5","60","5","A","60_5A 5","female","","300",10,3.4,918000,"2"
"28-5","60","5","A","60_5A 6","female","","300",10,2.6,702000,"2"
"28-5","60","5","A","60_5A 7","female","","300",10,2,540000,"2"
"28-5","60","5","A","60_5A 8","female","","300",10,2,540000,"2"
"28-5","60","5","A","60_5A 9","female","","300",10,0.8,216000,"2"
"28-5","60","5","B","60_5B 1","female","","300",10,2.8,756000,"2"
"28-5","60","5","B","60_5B 2","female","","300",10,1.4,378000,"2"
"28-5","60","5","B","60_5B 3","female","","300",10,0.4,108000,"2"
"28-5","60","5","B","60_5B 4","female","","300",10,0.6,162000,"2"
"28-5","60","5","B","60_5B 5","female","","300",10,1.2,324000,"2"
"28-5","60","5","B","60_5B 6","female","","300",10,4,1080000,"2"
"28-5","60","5","B","60_5B 7","female","","300",10,6.6,1782000,"2"
"28-5","60","5","B","60_5B 8","female","","300",10,5.6,1512000,"2"
"2-6","35","6","A","35_6A 1","female","","300",100,1.6,4320000,"1"
"2-6","60","6","A","60_6A 1","female","","300",10,7.6,2052000,"1"
"3-6","0","6","B","0_6B 1","female","a few dead cb maybe appeared","300",1,0,0,"1"
"3-6","0","6","B","0_6B 2","female","a few dead cb maybe appeared","300",1,0,0,"1"
"3-6","0","6","B","0_6B 3","female","a few dead cb maybe appeared","300",1,0,0,"1"
"3-6","10","6","A","10_6A 1","female","dead cb appeared","300",1,0,0,"1"
"3-6","10","6","A","10_6A 2","female","a lot dead cb","300",10,2.2,594000,"1"
"3-6","10","6","A","10_6A 3","female","dead cb appeared","300",1,0.2,5400,"1"
"3-6","10","6","A","10_6A 4","female","badly rotten","300",1,0,0,"1"
"3-6","35","6","A","35_6A 2","female","","300",10,3.4,918000,"1"
"3-6","60","6","A","60_6A 2","female","","300",10,8.4,2268000,"1"
"3-6","60","6","A","60_6A 3","female","","300",10,2.2,594000,"1"
"3-6","60","6","A","60_6A 4","female","","300",10,7.4,1998000,"1"
"4-6","0","7","B","0_7B 1","male","","300",1,0,0,"2"
"4-6","0","6","B","0_6B 4","female","","300",1,0,0,"1"
"4-6","10","6","A","10_6A 5","female","rotten, a lot dead cb","300",1,0.2,5400,"1"
"4-6","10","6","A","10_6A 6","female","","300",1,1.4,37800,"1"
"4-6","35","6","A","35_6A 3","female","","300",1,0,0,"1"
"4-6","35","6","A","35_6A 4","female","rotten","300",1,0,0,"1"
"4-6","60","6","A","60_6A 5","female","","300",10,6.4,1728000,"1"
"4-6","60","6","A","60_6A 6","female","rotten, has dead cb","300",10,4,1080000,"1"
"5-6","35","6","A","35_6A 5","female","","300",100,1.4,3780000,"1"
"5-6","0","7","A","0_7A 1","female","","300",10,4.2,1134000,"2"
"5-6","0","7","B","0_7B 2","male","","300",1,0,0,"2"
"5-6","0","7","B","0_7B 3","male","","300",1,0,0,"2"
"5-6","0","7","B","0_7B 4","male","","300",1,0,0,"2"
"6-6","0","7","A","0_7A 2","female","","300",10,3,810000,"2"
"6-6","60","6","B","60_6B 1","female","no dead cb","300",1,0,0,"1"
"6-6","60","6","A","60_6A 7","female","rotten, a lot dead cb","300",1,0.8,21600,"1"
"6-6","35","6","A","35_6A 6","female","","300",10,7.2,1944000,"1"
"6-6","10","6","A","10_6A 7","female","rotten, dead cb appeared","300",1,0,0,"1"
"7-6","10","7","A","10_7A 1","female","alive but not mobile when dissected, dead cb appeared","300",1,1.2,32400,"2"
"8-6","10","6","A","10_6A 8","female","","300",1,6.4,172800,"1"
"8-6","60","6","A","60_6A db8","female","mostly alive, daed cb existed","300",10,2.4,648000,"1"
"8-6","10","6","B","10_6B db1","female","rotten","300",1,0,0,"1"
"8-6","10","6","B","10_6B 2","female","","300",1,0,0,"1"
"8-6","10","6","B","10_6B 3","female","","300",1,0,0,"1"
"8-6","10","6","B","10_6B 4","female","dead cb appeared","300",1,0,0,"1"
"8-6","10","6","B","10_6B 5","female","","300",1,0,0,"1"
"8-6","10","6","B","10_6B 6","female","","300",1,0,0,"1"
"8-6","10","6","B","10_6B 7","female","","300",1,0,0,"1"
"8-6","35","6","B","35_6B db1","female","rotten, no really dead cb","300",1,0,0,"1"
"8-6","35","6","B","35_6B 2","female","","300",1,0,0,"1"
"8-6","35","6","B","35_6B 3","female","dead cb appeared","300",1,0,0,"1"
"8-6","35","6","B","35_6B 4","female","dead cb appeared","300",1,0,0,"1"
"8-6","35","6","B","35_6B 5","female","","300",1,0,0,"1"
"8-6","35","6","B","35_6B 6","female","","300",1,0,0,"1"
"8-6","60","6","B","60_6B 2","female","","300",10,3.4,918000,"1"
"8-6","60","6","B","60_6B 3","female","","300",1,0,0,"1"
"8-6","60","6","B","60_6B 4","female","","300",10,2,540000,"1"
"8-6","60","6","B","60_6B 5","female","","300",1,0.2,5400,"1"
"8-6","60","6","B","60_6B 6","female","dead cb appeared","300",1,0.6,16200,"1"
"8-6","10","7","A","10_7A 3","female","dead cb appeared, a bit mixed with 35_7A 1","300",10,2,540000,"2"
"8-6","10","7","A","10_7A 2","female","rotten","300",1,0,0,"2"
"8-6","35","7","A","35_7A 1","female","a bit mixed with 10_7A 3","300",10,7.2,1944000,"2"
"9-6","60","7","B","60_7B 1","male","all this batch had long waving ""worms""","300",1,0,0,"2"
"9-6","60","7","B","60_7B 2","male","","300",1,0,0,"2"
"9-6","60","7","B","60_7B 3","female","dead cb appeared","300",1,0,0,"2"
"9-6","60","7","B","60_7B 4","male","","300",1,0,0,"2"
"9-6","60","7","B","60_7B 5","female","","300",1,0,0,"2"
"9-6","60","7","B","60_7B 6","male","","300",1,0,0,"2"
"9-6","60","7","B","60_7B 7","male","","300",1,0.2,5400,"2"
"9-6","35","7","B","35_7B 1","male","dead cb appeared","300",1,0,0,"2"
"9-6","35","7","B","35_7B 2","female","","300",1,0,0,"2"
"9-6","35","7","B","35_7B 3","male","","300",1,0.2,5400,"2"
"9-6","35","7","B","35_7B 4","male","","300",1,0,0,"2"
"9-6","35","7","B","35_7B 5","male","","300",1,0,0,"2"
"9-6","35","7","B","35_7B 6","female","","300",1,0,0,"2"
"9-6","35","7","B","35_7B 7","female","","300",1,0,0,"2"
"9-6","10","7","B","10_7B 1","female","","300",1,0.2,5400,"2"
"9-6","10","7","B","10_7B 2","female","","300",1,0,0,"2"
"9-6","10","7","B","10_7B 3","male","","300",1,0,0,"2"
"9-6","10","7","B","10_7B 4","male","","300",1,0,0,"2"
"9-6","10","7","B","10_7B 5","male","","300",1,0,0,"2"
"9-6","10","7","B","10_7B 6","male","","300",1,0,0,"2"
"9-6","10","7","B","10_7B 7","male","","300",1,0,0,"2"
"9-6","60","7","A","60_7A 1","female","","300",100,1.2,3240000,"2"
"9-6","60","7","A","60_7A 2","female","","300",10,2.8,756000,"2"
"9-6","60","7","A","60_7A 3","female","","300",1,6.2,167400,"2"
"9-6","60","7","A","60_7A 4","female","","300",10,7.6,2052000,"2"
"9-6","60","7","A","60_7A 5","female","","300",10,4.8,1296000,"2"
"9-6","60","7","A","60_7A 6","female","","300",10,3.6,972000,"2"
"9-6","60","7","A","60_7A 7","female","","300",10,6.4,1728000,"2"
"9-6","35","7","A","35_7A 2","female","","300",10,5.2,1404000,"2"
"9-6","35","7","A","35_7A 3","female","","300",10,2.6,702000,"2"
"9-6","35","7","A","35_7A 4","female","","300",10,10.4,2808000,"2"
"9-6","35","7","A","35_7A 5","female","","300",10,2,540000,"2"
"9-6","35","7","A","35_7A 6","female","","300",10,3.2,864000,"2"
"9-6","35","7","A","35_7A 7","female","","300",10,3,810000,"2"
"9-6","10","7","A","10_7A db4","female","a lot dead cb","300",1,0.2,5400,"2"
"9-6","10","7","A","10_7A 5","female","","300",10,1.6,432000,"2"
"9-6","10","7","A","10_7A 6","female","","300",1,0,0,"2"
"9-6","10","7","A","10_7A 7","female","","300",1,0.4,10800,"2"
"9-6","0","7","A","0_7A 3","female","","300",1,5.6,151200,"2"
"9-6","0","7","A","0_7A 4","female","","300",10,3.8,1026000,"2"
